"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,          89,      -6.540540139,      -6.380392717,       -6.35652444,      -5.906637706,      -10.71689228,      -1.023268516,       1.204426807,       2.578217065,                 0,                 0,                 0,      0.5594864749,      0.6638192202,       2.767163026,                 0,       2.140617471,    0.008509893406
          0,           0,          90,      -6.552295101,      -6.410649741,      -6.395697177,      -5.915997908,      -10.73459153,     -0.9731968323,      0.9260182032,       3.106642418,                 0,                 0,                 0,      0.6676991388,      0.2852453814,       3.229144144,                 0,       3.354839471,    0.008509893406
          0,           0,          91,      -6.570744947,      -6.446617656,       -6.44386489,      -5.933596493,      -10.75224334,     -0.9302100384,      0.6302447466,       3.405695285,                 0,                 0,                 0,      0.7220206558,    -0.06441602964,       3.462920645,                 0,       5.403766241,    0.008509893406
          0,           0,          92,       -6.59734207,      -6.479566969,      -6.489706393,      -5.961185161,      -10.76944182,     -0.9108087256,      0.3441423611,       3.467739247,                 0,                 0,                 0,       0.721837006,     -0.3571475704,       3.466423959,                 0,        10.0764673,    0.008509893406
          0,           0,          93,      -6.631464677,      -6.501372518,      -6.519564021,      -5.998368217,      -10.78578817,     -0.9189689949,     0.09023909444,       3.302671327,                 0,                 0,                 0,      0.6700231623,     -0.5728589901,       3.253861332,                 0,       36.59911868,    0.008509893406
          0,           0,          94,      -6.669418956,      -6.509808605,      -6.527168762,      -6.041455639,      -10.80100257,     -0.9560079876,     -0.1146842638,       2.936403689,                 0,                 0,                 0,      0.5726620306,     -0.7002975153,       2.853980115,                 0,      -25.60424239,    0.008522392643
          0,           0,          95,      -6.703885658,      -6.510084746,      -6.519728837,      -6.082210077,      -10.81500745,      -1.022085564,     -0.2602018548,        2.40814852,                 0,                 0,                 0,      0.4385550453,     -0.7370995892,       2.307285959,                 0,      -9.254924495,    0.008522392643
          0,           0,          96,      -6.725960654,      -6.510401659,      -6.510250103,      -6.109189414,      -10.82815566,       -1.11361541,     -0.3382811074,       1.841009798,                 0,                 0,                 0,      0.2970018805,     -0.7000435457,       1.735998335,                 0,      -5.442248348,    0.008522392643
          0,           0,          97,      -6.745791144,      -6.527500118,      -6.519043803,      -6.129307498,      -10.83913134,      -1.214108028,     -0.3651684794,       1.147029907,                 0,                 0,                 0,      0.1247701063,     -0.5874357193,       1.050687823,                 0,      -3.141097799,    0.008522392643
          0,           0,          98,      -6.735493219,      -6.541165259,      -6.525873162,      -6.116031711,      -10.85112591,       -1.30941795,     -0.3438130972,      0.5172242661,                 0,                 0,                 0,    -0.03170637502,     -0.4404111987,      0.4379113646,                 0,      -1.504376274,    0.008522392643
